"Geneid","5-days-old","10-days-old","15-days-old","20-days-old","25-days-old","30-days-old","35-days-old","40-days-old","45-days-old","55-days-old"
"Glyma.01G199600",9.476,7.621,5.606,4.272,4.524,5.109,3.319,1.593,1.158,0.096
"Glyma.01G203200",0.972,0.558,0.213,0.272,0.221,0.627,0.599,0.589,0.322,0.128
"Glyma.01G213000",0.013,0,0.006,0.009,0.008,0.025,0.012,0.002,0.003,0
"Glyma.01G214600",0.044,0.037,0.088,0.203,2.041,0.591,3.013,3.765,24.63,55.499
"Glyma.01G218800",2.836,1.696,0.927,0.74,0.29,0.68,0.267,0.125,0.071,0.02
"Glyma.01G219600",49.323,29.315,16.899,12.843,5.791,10.128,5.469,3.661,2.868,0.819
"Glyma.01G221300",0.332,0.758,0.656,1.116,2.038,1.487,2.121,3.86,12.27,37.572
"Glyma.01G223700",1.906,1.819,2.586,2.739,3.571,3.281,2.887,2.898,3.194,1.31
"Glyma.01G225200",31.851,20.961,13.225,10.721,7.147,8.835,7.435,6.989,13.317,42.355
"Glyma.01G227200",26.11,19.12,13.318,13.24,5.773,10.992,5.349,3.065,2.131,0.18
"Glyma.01G230300",15.262,15.263,11.319,10.507,6.255,6.786,6.411,3.778,4.04,1.331
"Glyma.01G236600",137.107,94.167,65.726,46.849,22.721,29.088,27.383,23.638,23.766,36.926
"Glyma.01G236800",6.607,5.709,5.242,4.696,1.567,3.798,1.779,1.028,0.168,0.01
"Glyma.01G241400",0.741,0.563,0.514,1.272,2.112,1.302,1.932,2.2,6.048,7.278
"Glyma.01G245500",29.907,20.274,17.016,12.337,10.41,14.06,14.384,10.911,8.738,3.144
"Glyma.02G000600",50.426,28.973,20.658,11.994,8.367,10.887,7.236,5.743,7.297,10.053
"Glyma.02G002900",8.373,6.005,6.716,5.698,3.737,5.552,3.765,2.028,0.481,0.004
"Glyma.02G003300",49.547,40.349,24.43,17.007,14.678,13.657,13.109,15.522,13.441,17.61
"Glyma.02G005700",11.069,8.313,8.643,6.93,4.063,5.072,3.755,2.393,1.613,0.271
"Glyma.02G008100",6.848,4.414,3.202,3.895,1.943,3.018,1.905,0.601,0.301,0.012
"Glyma.02G013700",4.089,3.578,3.235,3.583,2.663,3.267,2.523,1.205,2.174,2.141
"Glyma.02G014800",15.707,13.776,13.15,9.934,9.829,5.385,8.754,5.773,6.447,4.214
"Glyma.02G015500",7.364,3.444,2.171,1.911,1.216,1.48,0.716,0.365,0.074,0.013
"Glyma.02G017400",8.269,5.516,3.995,3.868,3.115,3.275,2.755,1.684,1.574,0.27
"Glyma.02G021600",0.906,1.046,1.186,2.052,4.542,3.257,11.81,18.804,55.99,158.195
"Glyma.02G030200",23.298,19.339,20.068,19.784,5.93,13.602,4.122,3.065,0.226,0.079
"Glyma.02G030800",0.079,0.037,0.032,0.106,0.127,0.004,0.243,0.677,8.616,72.064
"Glyma.02G032800",51.09,34.582,20.959,15.348,7.634,12.062,7.172,5.548,6.973,2.444
"Glyma.02G033400",8.72,5.889,4.395,4.349,1.643,3.861,1.243,0.591,0.092,0.003
"Glyma.02G034200",0.056,0.013,0,0,0.002,0,0,0,0.002,0.043
"Glyma.02G035000",0.014,0.061,0.094,0.179,0.263,0.204,0.342,0.326,0.288,0.071
"Glyma.02G035600",157.815,125.495,94.118,65.918,38.954,48.98,42.282,29.193,17.202,7.969
"Glyma.02G036300",59.262,35.005,23.547,19.557,13.885,19.311,14.6,11.599,11.67,4.558
"Glyma.02G036500",29.428,22.413,14.565,10.957,1.73,5.731,1.583,0.548,0.191,0.082
"Glyma.02G038000",26.369,21.208,11.261,7.846,7.577,6.251,7.018,5.835,8.626,5.198
"Glyma.02G038100",9.087,5.803,3.217,2.209,1.159,1.609,1.078,0.664,0.755,0.448
"Glyma.02G038500",0.274,0.212,0.098,0.045,0.04,0.027,0.024,0.016,0.07,0.335
"Glyma.02G047700",4.822,3.462,2.09,1.486,1.194,1.458,1.1,1.249,1.163,1.187
"Glyma.02G052600",33.618,24.685,15.589,7.262,4.937,6.762,6.33,5.372,5.266,4.178
"Glyma.02G057000",8.065,5.647,3.893,2.791,2.355,2.279,2.203,1.493,1.074,0.334
"Glyma.02G061400",8.051,5.517,2.509,2.335,1.095,1.58,0.928,0.437,0.189,0.12
"Glyma.02G062900",0.003,0.002,0.003,0.012,0,0.005,0,0.001,0.017,0.317
"Glyma.02G063500",0,0.005,0,0,0,0,0,0,0,0
"Glyma.02G064800",9.58,6.076,5.077,5.044,2.883,4.608,3.112,2.069,1.289,0.2
"Glyma.02G066000",5.732,3.204,2.468,1.684,1.798,2.102,2.235,2.133,2.552,0.874
"Glyma.02G066100",20.726,11.232,6.576,5.846,6.764,8.65,7.852,7.595,10.313,3.862
"Glyma.02G069800",6.668,5.301,3.035,2.201,0.124,1.112,0.178,0.063,0,0
"Glyma.02G084100",9.248,8.717,5.86,5.198,3.707,6.112,2.625,1.997,1.001,0.385
"Glyma.02G090800",27.879,20.64,18.276,26.457,41.076,43.752,36.129,70.39,112.442,643.06
"Glyma.02G094400",18.037,13.628,12.125,11.568,6.003,8.796,6.9,3.389,2.036,0.435
"Glyma.02G101100",1.313,2.258,2.961,2.359,0.687,1.461,0.832,0.536,0.847,12.123
"Glyma.02G101500",35.704,29.294,25.986,16.897,12.688,12.211,11.441,8.98,9.919,9.644
"Glyma.02G101700",72.071,59.208,47.426,35.232,35.882,29.417,31.527,27.744,51.653,50.837
"Glyma.02G102600",26.682,21.28,19.717,20.454,5.344,15.712,5.453,2.058,0.571,0.241
"Glyma.02G104800",0,0,0,0,0,0,0,0,0.004,0
